id,單字,组词,原註,罕度
16,朧,朦朧(朦胧),,1
17,嚨,喉嚨(喉咙),,1
21,窿,窟窿,,1
23,囪,煙囪(烟囱),,1
27,衷,熱衷(热衷),,1
42,蚣,蜈蚣,,1
56,鴻,鴻雁(鸿雁),,1
62,楓,楓樹(枫树),,1
65,篷,帳篷(帐篷),,1
68,馮,姓馮(姓冯),馮姓,1
69,馮,暴虎馮河(暴虎冯河),暴虎馮河,1
72,朦,朦朧(朦胧),,1
73,檬,檸檬(柠檬),,1
91,仲,仲裁,,1
96,甕,甕中捉鱉(瓮中捉鳖),,1
117,簇,簇擁(簇拥),,1
120,鑿,確鑿(确凿),,1
127,軸,軸承(轴承),,1
129,矗,矗立,,1
131,淑,淑女,,1
150,郁,濃郁(浓郁),,1
158,蝠,蝙蝠,,1
166,沐,沐浴,,1
167,睦,和睦,,1
168,穆,肅穆(肃穆),,1
175,彤,紅彤彤(红彤彤),,1
178,膿,膿液(脓液),流脓水,1
184,綜,綜合(综合),,1
189,褥,被褥,,1
202,訟,訴訟(诉讼),,1
214,茸,鹿茸,,1
221,洶,洶湧(汹涌),,1
223,匈,匈奴,,1
225,蓉,芙蓉,,1
226,溶,溶解,,1
240,聳,聳立(耸立),,1
245,寵,寵愛(宠爱),,1
251,拱,拱橋(拱桥),,1
255,蛹,蠶蛹(蚕蛹),,1
264,粟,滄海一粟(沧海一粟),,1
274,蜀,蜀漢(蜀汉),,1
276,贖,贖罪(赎罪),,1
282,旭,旭日,,1
288,樁,木樁(木桩),,1
291,幢,幡幢,幡幢,1
292,幢,一幢樓(一栋楼),量詞,1
293,幢,海幢寺,海幢寺,1
296,肛,肛門(肛门),,1
304,邦,友邦,,1
305,龐,龐大(庞大),,1
311,蚌,蚌殼(蚌壳),,1
315,琢,雕琢,,1
316,卓,卓越,,1
325,嶽,五嶽(五岳),,1
326,岳,岳父,,1
346,漓,淋漓,,1
347,籬,籬笆(篱笆),,1
349,雌,雌雄,,1
371,窺,窺探(窥探),,1
372,墮,墮落(堕落),,1
377,卑,卑鄙,,1
379,瀰,瀰漫(弥漫),,1
381,彌,彌補(弥补),,1
382,歧,歧途,,1
392,髓,骨髓,,1
397,侈,奢侈,,1
399,弛,松弛,,1
401,蕊,花蕊,,1
402,爾,爾後(尔后),,1
409,賜,恩賜(恩赐),,1
414,吱,吱吱,,1
420,譬,譬如,,1
432,妓,妓女,,1
433,畸,畸形,,1
434,崎,崎嶇(崎岖),崎嶇,1
435,崎,長崎(长崎),長崎,1
440,涯,天涯,,1
450,萎,枯萎,枯萎,1
460,糜,糜爛(糜烂),,1
467,揣,揣測(揣测),,1
469,詭,詭計(诡计),,1
478,靡,風靡(风靡),,1
479,靡,靡靡,,1
488,諮,諮詢(咨询),,1
491,瓷,瓷器,,1
496,錐,圓錐(圆锥),,1
500,屎,屎尿,,1
502,伊,伊人,,1
504,胰,胰臟(胰脏),,1
505,夷,夷為平地(夷为平地),,1
519,鰭,魚鰭(鱼鳍),,1
523,履,履行,,1
525,姊,姊妹,,1
530,矢,矢量,,1
539,痢,痢疾,,1
545,悴,憔悴,,1
547,嫉,嫉妒,,1
550,粹,純粹(纯粹),,1
554,祟,作祟,,1
556,遂,未遂,,1
559,隧,隧道,,1
560,摯,摯友(挚友),,1
563,嗜,嗜好,,1
565,貳,貳心(贰心),,1
568,庇,庇護(庇护),,1
571,屁,屁股,,1
580,椎,鐵椎(铁椎),鐵椎,1
581,椎,脊椎,脊椎,1
583,莉,茉莉,,1
596,薇,薔薇(蔷薇),,1
598,楣,門楣(门楣),,1
609,膩,膩煩(腻烦),,1
613,墜,墜落(坠落),,1
614,稚,幼稚,,1
619,冀,希冀,,1
627,泌,分泌,,1
630,媚,明媚,,1
648,伺,窺伺(窥伺),窺伺,1
649,伺,伺候,伺候,1
653,祠,祠堂,,1
654,痴,痴迷,,1
659,嗤,嗤笑,,1
665,箕,簸箕,,1
668,熙,熙熙攘攘,,1
671,嬉,嬉戲(嬉戏),,1
690,鯉,鯉魚(鲤鱼),,1
708,趾,趾高氣揚(趾高气扬),,1
712,恃,仗恃,,1
719,擬,擬定(拟定),,1
724,吏,官吏,,1
743,餌,魚餌(鱼饵),,1
