聲紐,呼,等,韻部,聲調,組,攝,單字,罕
定,開,一,咍,平,端,蟹,擡,2
明,開,三,支B,平,幫,止,縻,2
從,開,三,脂A,平,精,止,餈,3
莊,開,三,之,上,莊,止,滓,1
從,開,一,豪,上,精,效,皁,2
疑,開,一,豪,去,見,效,鏊,2
並,開,二,肴,平,幫,效,狍,2
影,開,四,蕭,平,影,效,幺,2
常,合,三,真A,平,章,臻,蓴,2
日,開,三,陽,平,,宕,穰,2
見,開,二,江,入,見,江,榷,2
澄,開,二,庚,去,知,梗,鋥,2
幫,開,二,耕,入,,梗,掰,1
影,開,三,鍾,上,,通,壅,2
生,開,二,麻,去,,假,嗄,2
影,開,二,夬,去,,蟹,嗄,2
,,,,,,,桉,2
,,,,,,,銨,2
,,,,,,,犴,2
疑,開,一,豪,平,見,效,嗷,2
疑,開,一,豪,平,見,效,鰲,2
影,開,一,豪,平,影,效,鏖,2
影,開,一,豪,上,影,效,媼,2
疑/疑,開/開,一/一,豪/号,平/去,,效/效,驁,2
幫,開,二,佳,上,幫,蟹,捭,2
並,開,一,寒,平,幫,山,瘢,2
幫,開,二,江,平,幫,江,梆,1
並/並,合/合,一/一,魂/灰,入/去,,臻/蟹,孛,2
幫,開,三,支B,去,,止,賁,2
幫,合,一,魂,平,,臻,賁,2
幫,合,一,魂,上,幫,臻,苯,2
,,,,,,,嘣,2
,,,,,,,荸,1
幫,開,三,脂B,去,幫,止,毖,2
幫,開,三,真A,入,幫,臻,篳,2
幫,開,三,清A,入,幫,梗,襞,2
幫,開,二,刪,平,,山,鯿,2
並,開,三,仙B,去,幫,山,卞,2
並,開,三,仙B,去,幫,山,弁,2
並,開,三,宵A,去,幫,效,驃,2
並,開,四,先,入,幫,山,蹩,2
幫,開,三,真A,去,幫,臻,擯,2
並,開,一,唐,入,幫,宕,亳,2
清,開,一,寒,去,精,山,粲,2
從/從,開/開,一/一,豪/豪,去/平,,效/效,漕,2
從,開,一,豪,平,精,效,螬,2
,,,,,,,嚓,2
,,,,,,,碴,1
初,開,二,佳,去,莊,蟹,衩,1
崇,開,二,皆,平,莊,蟹,儕,2
徹,開,二,夬,去,知,蟹,蠆,2
崇/崇/崇,開/開/開,二/三/二,山/仙B/山,平/平/上,,山/山/山,孱,2
澄,開,三,仙B,平,知,山,廛,2
