id,聲,呼,等,韻,調,組,攝,單字,多音,组词,原註,罕度
1,端,開,一,東,平,端,通,東,0,東方(东方),,0
2,端,開,一,東,平,端,通,凍,0,冷凍(冷冻),,0
3,端,開,一,東,平,端,通,鶇,0,鸫,,3
4,透,開,一,東,平,端,通,通,0,通過(通过),,0
5,透,開,一,東,平,端,通,俑,0,兵俑,,2
6,定,開,一,東,平,端,通,桐,0,梧桐,,0
7,定,開,一,東,平,端,通,洞,0,山洞,,0
8,定,開,一,東,平,端,通,筒,0,竹筒,,0
9,定,開,一,東,平,端,通,銅,0,銅器(铜器),,0
10,定,開,一,東,平,端,通,僮,1,書僮,書僮,2
11,,,,,,,,僮,1,僮族,僮族,2
12,定,開,一,東,平,端,通,童,0,兒童(儿童),,0
13,定,開,一,東,平,端,通,同,0,共同,,0
14,定,開,一,東,平,端,通,仝,0,仝,,3
15,來,開,一,東,平,來,通,聾,0,聾啞(聋哑),,0
16,來,開,一,東,平,來,通,朧,0,朦朧(朦胧),,1
17,來,開,一,東,平,來,通,嚨,0,喉嚨(喉咙),,1
18,來,開,一,東,平,來,通,瓏,0,玲瓏(玲珑),,2
19,來,開,一,東,平,來,通,籠,0,鳥籠(鸟笼),,0
20,來,開,三,東,平,來,通,隆,0,隆重,,0
21,來,開,三,東,平,來,通,窿,0,窟窿,,1
22,清,開,一,東,平,精,通,聰,0,聰明(聪明),,0
23,清,開,一,東,平,精,通,囪,0,煙囪(烟囱),,1
24,清,開,一,東,平,精,通,蔥,0,青蔥(青葱),,0
25,從,開,一,東,平,精,通,叢,0,花叢(花丛),,0
26,心,開,三,東,平,精,通,嵩,0,嵩山,,2
27,知,開,三,東,平,知,通,衷,0,熱衷(热衷),,1
28,知,開,三,東,平,知,通,忠,0,忠心,,0
29,知,開,三,東,平,知,通,中,1,中間(中间),中間,0
30,知,開,三,東,去,知,通,中,1,中獎(中奖),中獎,0
31,徹,開,三,東,平,知,通,忡,0,憂心忡忡(忧心忡忡),,2
32,澄,開,三,東,平,知,通,蟲,0,昆蟲(昆虫),,0
33,澄,開,三,東,平,知,通,沖,0,沖洗(冲洗),,0
34,崇,開,三,東,平,莊,通,崇,0,崇高,,0
35,章,開,三,東,平,章,通,眾,0,群眾(群众),,0
36,章,開,三,東,平,章,通,螽,0,螽斯,,2
37,章,開,三,東,平,章,通,終,0,最終(最终),,0
38,昌,開,三,東,平,章,通,充,0,充滿(充满),,0
39,日,開,三,東,平,日,通,絨,0,絨毛(绒毛),,0
40,見,開,一,東,平,見,通,功,0,功勞(功劳),,0
41,見,開,一,東,平,見,通,工,0,工人,,0
42,見,開,一,東,平,見,通,蚣,0,蜈蚣,,1
43,見,開,一,東,平,見,通,公,0,公平,,0
44,見,開,一,東,平,見,通,攻,0,攻擊(攻击),,0
45,見,開,三,東,平,見,通,躬,0,鞠躬,,0
46,見,開,三,東,平,見,通,宮,0,故宮(故宫),,0
47,見,開,三,東,平,見,通,弓,0,弓箭,,0
48,溪,開,一,東,平,見,通,空,0,天空,,0
49,溪,開,三,東,平,見,通,穹,0,穹蒼(穹苍),,2
50,匣,開,一,東,平,影,通,訌,0,內訌(内讧),,2
51,匣,開,一,東,平,影,通,洪,0,洪水,,0
52,匣,開,一,東,平,影,通,虹,0,彩虹,,0
53,匣,開,一,東,平,影,通,烘,0,烘乾(烘干),,0
54,匣,開,一,東,平,影,通,紅,1,紅色(红色),紅色,0
