id,單字,组词,原註,罕度
1,東,東方(东方),,0
2,凍,冷凍(冷冻),,0
4,通,通過(通过),,0
6,桐,梧桐,,0
7,洞,山洞,,0
8,筒,竹筒,,0
9,銅,銅器(铜器),,0
12,童,兒童(儿童),,0
13,同,共同,,0
15,聾,聾啞(聋哑),,0
19,籠,鳥籠(鸟笼),,0
20,隆,隆重,,0
22,聰,聰明(聪明),,0
24,蔥,青蔥(青葱),,0
25,叢,花叢(花丛),,0
28,忠,忠心,,0
29,中,中間(中间),中間,0
30,中,中獎(中奖),中獎,0
32,蟲,昆蟲(昆虫),,0
33,沖,沖洗(冲洗),,0
34,崇,崇高,,0
35,眾,群眾(群众),,0
37,終,最終(最终),,0
38,充,充滿(充满),,0
39,絨,絨毛(绒毛),,0
40,功,功勞(功劳),,0
41,工,工人,,0
43,公,公平,,0
44,攻,攻擊(攻击),,0
45,躬,鞠躬,,0
46,宮,故宮(故宫),,0
47,弓,弓箭,,0
48,空,天空,,0
51,洪,洪水,,0
52,虹,彩虹,,0
53,烘,烘乾(烘干),,0
54,紅,紅色(红色),紅色,0
55,紅,女紅(女红),女紅,0
57,翁,老翁,,0
59,雄,英雄,,0
60,熊,熊貓(熊猫),,0
61,融,融化,,0
63,風,颱風(台风),,0
64,蓬,蓬勃,,0
66,蜂,蜜蜂,,0
70,矇,矇矓(蒙眬),,0
71,濛,濛濛(蒙蒙),,0
74,蒙,蒙蔽,,0
75,夢,夢想(梦想),,0
76,豐,豐富(丰富),,0
77,窮,貧窮(贫穷),,0
78,董,董事,,0
79,桶,水桶,,0
80,動,動物(动物),,0
81,攏,靠攏(靠拢),,0
82,總,總是,,0
83,孔,孔雀,,0
86,棟,棟梁(栋梁),,0
87,痛,疼痛,,0
88,弄,玩弄,,0
90,送,送禮(送礼),,0
93,貢,貢獻(贡献),,0
94,哄,哄騙(哄骗),哄騙,0
95,哄,亂哄哄(乱哄哄),亂哄哄,0
97,諷,諷刺(讽刺),,0
98,鳳,鳳凰(凤凰),,0
99,啄,啄食,,0
101,禿,禿頭(秃头),,0
103,獨,獨立(独立),,0
105,讀,朗讀(朗读),朗讀,0
106,讀,句讀(句读),句讀,0
108,鹿,麋鹿,,0
110,碌,忙碌,,0
111,角,角落,,0
112,角,角色,,0
114,陸,陸地(陆地),,0
115,六,六月,,0
119,族,民族,,0
121,速,速度,,0
122,肅,嚴肅(严肃),,0
124,竹,竹子,,0
125,築,建築(建筑),,0
126,逐,逐漸(逐渐),,0
128,筑,擊筑(击筑),,0
130,縮,壓縮(压缩),,0
132,熟,成熟,,0
136,叔,叔叔,,0
137,肉,牛肉,,0
138,穀,穀物(谷物),,0
139,谷,山谷,山谷,0
140,谷,吐谷渾(吐谷浑),吐谷渾,0
141,谷,谷蠡王,谷蠡王,0
143,鞠,鞠躬,,0
144,菊,菊花,,0
145,哭,哭泣,,0
146,麴,酒麴(酒曲),,0
147,蓄,儲蓄(储蓄),,0
149,屋,房屋,,0
151,粥,稀粥,,0
153,育,教育,,0
156,卜,占卜,,0
157,腹,腹部,,0
159,福,幸福,,0
160,幅,幅度,,0
161,僕,僕人(仆人),,0
162,服,衣服,,0
165,木,樹木(树木),,0
169,目,目光,,0
170,牧,牧場(牧场),,0
171,撲,撲滅(扑灭),,0
172,冬,冬天,,0
173,疼,疼痛,疼痛,0
174,疼,疼愛(疼爱),疼愛,0
176,鼕,鼕鼕(冬冬),,0
177,農,農業(农业),,0
179,宗,宗教,,0
182,鬆,輕鬆(轻松),,0
183,統,統一(统一),,0
185,宋,宋朝,,0
187,督,監督(监督),,0
188,毒,病毒,,0
190,酷,殘酷(残酷),,0
191,沃,肥沃,,0
192,濃,濃厚(浓厚),,0
193,龍,龍王(龙王),,0
194,縱,縱橫(纵横),縱橫,0
195,縱,放縱(放纵),放縱,0
196,蹤,蹤跡(踪迹),,0
198,從,跟從(跟从),跟從,0
199,從,從容(从容),從容,0
200,從,從兄弟(从兄弟),從兄弟,0
201,松,松樹(松树),,0
203,重,重新,重新,0
204,重,重量,重量,0
205,重,重要,重要/重量,0
206,鐘,鐘聲(钟声),,0
209,鍾,鍾愛(钟爱),,0
211,衝,衝鋒(冲锋),衝鋒,0
212,衝,衝勁(冲劲),衝勁,0
215,共,共同,,0
216,共,公共,,0
217,恭,恭敬,,0
218,供,提供,提供,0
219,供,供奉,供奉,0
220,凶,凶狠,,0
222,兇,兇猛(凶猛),,0
227,容,容易,,0
228,傭,傭金(佣金),,0
230,頌,歌頌(歌颂),,0
231,庸,平庸,,0
232,封,封閉(封闭),,0
233,逢,相逢,,0
234,縫,裁縫(裁缝),裁縫,0
235,縫,裂縫(裂缝),裂縫,0
236,鋒,鋒利(锋利),,0
238,丰,丰采,,0
247,腫,腫脹(肿胀),,0
248,種,種子(种子),種子,0
249,種,種植(种植),種植,0
250,鞏,鞏固(巩固),,0
252,恐,恐懼(恐惧),,0
253,擁,擁有(拥有),,0
