聲紐,呼,等,韻部,聲調,組,攝,單字
見,開,一,歌,去,見,果,个
見,開,一,歌,去,見,果,箇
邪,開,三,侵A,入,精,深,槢
見,合,一,戈,上,,果,餜
影,合,一,歌,平,影,果,踒
莊,開,二,麻,平,莊,假,樝
清,開,三,麻,去,精,假,笡
清,開,一,模,平,精,遇,麤
見,開,一,模,上,,遇,䀇
來,開,三,魚,上,,遇,稆
以,開,三,魚,平,以,遇,舁
幫,開,三,尤,上,,流,殕
日,合,三,虞,上,,遇,擩
端,開,一,咍,平,端,蟹,懛
清,開,一,咍,去,精,蟹,棌
見,開,一,咍,去,,蟹,槪
見,開,一,咍,去,,蟹,漑
疑,合,一,灰,去,,蟹,磑
並,開,二,佳,平,,蟹,簰
並,開,四,齊,去,,蟹,鐾
來,開,三,脂A,平,來,止,犂
心,開,四,齊,平,,蟹,栖
心,開,四,齊,去,精,蟹,壻
見,開,四,齊,平,見,蟹,鷄
見,合,二,佳,上,,蟹,柺
明,開,三,支A,平,,止,䉲
昌/章,開/開,三/三,支A/支A,平/平,,止/止,眵
,,,,,,,袐
來,開,三,脂A,平,來,止,棃
來,開,三,之,平,來,止,貍
曉,開,三,之,上,影,止,蟢
見,開,三,微,去,,止,旣
幫,合,三,微,去,幫,止,疿
清,開,一,豪,上,精,效,騲
澄,開,二,肴,去,知,效,櫂
疑,開,二,肴,上,見,效,齩
影,開,二,肴,去,影,效,靿
從,開,三,宵A,去,,效,噍
來,開,四,蕭,去,,效,尥
,,,,,,,㪗
匣,開,一,侯,平,影,流,瘊
精,開,三,尤,平,,流,鬏
來,開,一,覃,上,,咸,灠
影,開,一,覃,上,,咸,揞
透,開,一,盍,入,,咸,溻
知,開,二,洽,入,,咸,箚
澄,開,二,肴,去,知,效,㷹
見,開,二,咸,上,,咸,碱
溪/知,開/開,二/二,咸/咸,平/平,,咸/咸,鵮
透,開,四,添,去,,咸,掭
清,開,三,侵A,去,,深,吢
莊,開,三,侵B,平,莊,深,兂
溪,開,三,侵B,入,見,深,㬤
心,開,三,仙A,上,,山,癣
疑,開,三,仙B,入,見,山,孼
端,開,四,先,平,,山,顚
定,開,四,先,平,,山,塡
見,開,四,先,上,,山,趼
見,開,四,先,上,見,山,筧
見,開,四,先,入,見,山,䥛
疑,開,四,先,平,,山,硏
滂,合,三,元,去,幫,山,嬎
明,開,三,眞B,平,,臻,㨉
